Year,Month,Day,Temperature,Relative_Humidity,Mean_Sea_Level_Pressure,Total_Precipitation,Total_Cloud_Cover,High_Cloud_Cover,Medium_Cloud_Cover ,Low_Cloud_Cover,Sunshine_Duration ,Shortwave_Radiation,Wind_Speed_10,Wind _Direction_10,Wind_Speed_80,Wind_Direction_80,Wind_Speed_900,Wind_Direction_900,Wind_Gust
2005,4,24,55.46,93.25,1010.12,11,100,69.83,100,100,0,2032.76,2.43,139.3,3.71,141.23,5.66,194.54,5.59
2005,4,25,53.1,86.75,1009.5,9.6,100,91.96,98.25,64.29,0,2541.84,8.43,201.23,11.61,203.38,17.88,217.25,12.5
2005,4,26,51.84,80.71,1017.41,0,83.25,24.42,31.83,73.25,97.66,3612.51,6.9,244.35,9.76,248.13,20.83,257.47,12.28
2005,4,27,55.23,82.46,1019.69,4.8,92.58,55.92,83.92,76.29,57.45,2769.68,5.07,234.51,7.16,241.8,16.49,267.22,10.63
2005,4,28,58.05,77.08,1021.4,0.2,72.2,44.12,58.62,42.75,250.17,5549.15,2.23,160.62,2.78,176.16,5.24,212.67,4.73
2005,4,29,66.82,66.79,1019.03,0.1,58.66,38.75,55.96,25,375.53,6335.91,3.12,201.1,4.64,211.31,8.42,264.72,6.48
2005,4,30,67.71,72.33,1016.4,0,13.73,43.92,0.67,4.17,697.47,7073.72,1.7,181.46,2.23,181.41,3.9,253.3,3.11
2005,5,1,70.3,66.88,1013.43,0,10.65,27.04,3.75,1.67,805.38,7135.13,3.43,184.15,4.71,194.07,7.25,248.45,7.12
2005,5,2,70.26,65.96,1014.42,0,42.78,58.96,35.92,0.08,448.44,6837.87,5.43,180.24,8.15,194.26,12.96,225.52,11.21
2005,5,3,61.98,86.96,1016.01,21,98.92,75.71,96.79,98.75,5.11,1383.06,6.55,224.87,9.83,228.24,21.14,251.61,12.44
2005,5,4,53.79,87.17,1017.3,2.2,72.92,0,15.12,72.92,211.1,3038.46,9.47,262.98,13.33,264.61,25.67,268.89,15.01
2005,5,5,52.6,87.71,1016.4,5.4,91.92,0.71,31.67,91.92,108.51,2447.5,4.98,276.54,6.27,279.15,12.51,294.8,7.42
2005,5,6,51.19,85.88,1018.46,5,94.71,13.67,38.17,94.67,59.79,2811.51,9.99,267.32,12.78,270.92,23.35,277.05,14.26
2005,5,7,50.46,89.04,1014.51,10.7,99.71,40.62,57.38,99.71,0.64,2305.1,11.98,256.26,16.35,257.52,31.49,264.99,19.5
2005,5,8,48.42,76.75,1014.6,3.2,70.58,2.92,21.04,67.21,352.98,4813.12,9.78,273.35,12.28,277.36,20.9,279.42,14.15
2005,5,9,48.51,74.75,1014.58,1.9,62.71,0,19.5,62.71,331.49,4102.9,5.06,261.59,6.47,281.8,11.16,295.58,8.42
2005,5,10,48.04,72.33,1016.63,1,47.24,23.58,23.42,24.38,320.63,5045.41,3.76,33.18,5.27,26.11,6.48,19.62,6.16
2005,5,11,48.9,75.46,1020.46,0,37.46,0,0,37.46,466.18,7371.87,5.57,47.8,7.65,46.98,10.66,55.87,9.37
2005,5,12,50.94,74.79,1016.92,0,42.39,8.21,32.5,38.92,482.8,6116.08,7.7,71.54,9.85,74.24,21.32,86.29,12.6
2005,5,13,58.98,79.83,1015.16,1.6,84.25,30.04,82.25,70.54,47.43,5018.71,3.39,66.24,3.11,56.81,6.01,107.01,6.19
2005,5,14,58.06,91.04,1012.38,13.8,86.08,69.71,76.42,84.38,114,2072.81,7.43,220.63,9.91,225.11,17.51,235.17,12.25
2005,5,15,57.03,79.17,1016.56,1,86.12,15.58,33.75,62,177.45,4191.01,8.64,256.97,11.03,272.8,20.13,271.27,13.52
2005,5,16,55.51,84.54,1013.88,3.8,77.92,50.12,63.75,58.67,161.8,3900.87,2.12,191.1,2.93,187.57,3.74,282.18,3.65
2005,5,17,55.61,80.54,1012.81,0.1,76.29,4.08,3.29,76.29,332.55,3571.57,4.05,290.12,4.86,291.27,7.7,301.64,5.79
2005,5,18,52.26,84.79,1019.11,1.4,100,0,0,100,0,2827.53,4.31,283.56,5.54,286.22,8.4,140.48,5.98
2005,5,19,54.96,74.42,1023.13,0,77.38,16.83,19.46,59.17,170.76,5712.02,1.67,101.3,2.43,112.29,4.26,144.48,4.18
2005,5,20,62.34,74.08,1019.83,0,23.69,35.67,20.21,4.75,716.35,7783.05,2.64,160.38,3.55,166.03,5.66,222.49,6.41
2005,5,21,67.04,78.75,1014.27,1,87.12,90.92,87.12,37.62,98.3,4154.52,2.51,259.71,4.33,261.67,9.77,245.82,8
2005,5,22,65.05,83.21,1011.54,6.9,99.33,91.88,99.33,96.67,4.47,2955.69,3.94,252.64,5.72,264.86,10.64,218.39,10.77
2005,5,23,56.31,89.42,1018.77,23.2,81.42,58.58,62.75,80.62,107.6,2066.58,5.67,276.32,6.94,278.37,13.15,291.19,8.42
2005,5,24,58.32,75,1024.76,0,23.35,27.42,18,12.92,656.24,7611.28,1.3,120.28,1.48,141.19,2.19,233.23,3.06
2005,5,25,64.13,74.25,1024.59,0,6.17,8.17,1.17,3.75,880.46,8039.37,3,90.3,3.41,97.9,5,107.18,5.17
2005,5,26,71.02,73.29,1020.67,0,20.17,17.96,17.67,2.92,897.83,8042.04,1.58,184.19,1.96,199.17,3.74,208.49,2.95
2005,5,27,74.33,72.58,1017.26,0,3.61,0.92,0,3.33,896.08,8065.18,1.73,124.12,1.95,137.13,1.96,140.83,3.26
2005,5,28,75.91,71.29,1016.42,0,5.65,9.12,0,2.92,890.04,7704.73,3.11,222.84,3.8,235,5.02,280.18,4.22
2005,5,29,75.4,72.67,1016.41,0.3,14.52,16,11.92,9.12,721.4,6382.19,0.76,153.38,1.03,146.37,2.14,136.88,2.7
2005,5,30,66.31,83.12,1018.41,3.2,49.66,18.54,26,41.33,362.1,4223.05,7.7,235.47,9.48,242.82,18.68,264.45,12.33
2005,5,31,57.67,73.88,1025.58,0,83.88,8.46,23.21,63.79,30.64,4757.05,3.7,243.18,4.63,253.86,6.62,237.99,5.98
2005,6,1,58.32,75.29,1022.36,0,35.92,0,0,35.92,655.34,4351.21,2.91,67.55,5.09,143.18,5.49,144.5,4.74
2005,6,2,62.83,72.12,1018.63,0,16.72,24.04,2.25,10,752,8058.06,1.94,156.85,2.75,154.2,3.48,203.64,3.35
2005,6,3,69.05,70.25,1013.75,0.8,23.62,28.46,18.46,21.46,796.09,7770.59,5.63,184.86,7.8,187.17,12.27,201.81,10.55
2005,6,4,63.58,76.12,1017.03,6.4,77.62,70.42,45.38,61.67,205.29,4903.01,8.89,267.76,11.41,268.53,21.93,270.33,15.4
2005,6,5,59.17,74.17,1020.08,2.4,81.67,32.25,40.17,74.25,70.85,4521.2,7.77,274.46,10.27,278.77,17.08,280.76,11.33
2005,6,6,59.76,84.04,1020.03,13.3,100,21.12,96.08,100,0,2835.54,3.7,272.44,4.52,282.04,10.05,286.53,6.77
2005,6,7,56.17,76.12,1027.82,4.4,67.02,8.38,3.54,65.46,337.97,6382.19,5.54,262.8,8.09,277.35,10.93,154.8,9.73
2005,6,8,53.19,64.88,1031.53,0,68.54,30.38,23.29,68.54,235.53,6265.6,7.47,53.38,10.25,52.45,15.16,61.44,15.13
2005,6,9,56.47,63.75,1026.75,0,47.35,71.21,17.88,37.96,604.51,5908.71,6.98,58.32,8.41,57.09,14.18,64.81,15.04
2005,6,10,56.08,67.38,1021.12,0,50.7,2.75,2.96,47.54,420.25,7115.55,2.89,106.7,3.19,222.21,8.12,174.99,7.35
2005,6,11,59.43,70.08,1014.23,0,96.04,19.58,29.71,96.04,0,3736.22,3.44,245.43,4.66,245.12,6.71,250.57,6.37
2005,6,12,61.95,71.12,1010.03,0,40.17,0,0,40.17,644.61,5922.06,3.35,250.8,4.99,256.46,8.31,265.62,8.34
2005,6,13,66.56,70.79,1008.57,0.1,49.04,28.38,31.54,31.88,513.39,5327.54,7.16,215.49,10.43,225.86,18.99,250.72,14.85
2005,6,14,63.79,88.88,1012.36,9.1,94.54,79.46,87.67,93.75,2.88,2107.52,2.86,197.26,4.6,202.57,8.4,222.46,7.27
2005,6,15,65.54,75.46,1019.35,0,54.62,21.71,17.08,39.92,469.15,7322.92,3.31,259.72,4.2,256.42,7.67,301.83,5.05
2005,6,16,68.02,71.75,1023.39,0,43.7,35.67,37.79,29.62,618.23,5914.05,3.68,295.21,4.92,307.01,6.73,308.11,4.68
2005,6,17,70.7,75.04,1026.48,0,19.64,8.46,12.88,7.25,876.4,7164.5,3.13,280.64,3.86,303.65,6.34,302.94,5.31
2005,6,18,72.34,78.58,1023.2,0,19.54,0,0,19.54,715.34,7531.18,5.14,47.52,6.3,36.55,10.2,51,10.87
2005,6,19,70.12,67.71,1018.64,0,4.88,0,0,4.88,912.24,8377.57,6.63,65.89,8.83,70.59,18.98,79.53,14.17
2005,6,20,71.85,67.5,1016.5,0,0.04,0,0,0.04,961.94,8336.63,3.81,71.14,4.55,68.17,16.16,77.28,8.02
2005,6,21,76.72,65.17,1016.92,0.4,21.94,36.12,14.29,7.46,703.98,7979.74,2.35,203.23,3.43,216.28,4.44,193.69,3.5
2005,6,22,76.7,69.33,1019.6,0,6.31,2.58,0.96,5.04,888.6,7863.15,3.27,195.56,4.43,240.26,6.47,169.09,4.9
2005,6,23,76.8,70.04,1019.92,0.1,19.25,11.33,14.38,12.96,734.21,7038.12,2.46,149.29,3.34,144.35,3.82,146.08,4.36
2005,6,24,78.41,67.46,1015.97,0.4,36.98,21.92,36.54,8,570.02,6504.12,4.55,196.91,6.15,203.56,9.57,236.07,7.75
2005,6,25,73.83,77.62,1016.77,1.5,43.46,14.08,39.29,22.04,463.46,4911.02,5.9,223.65,8.59,235.26,15.17,261.76,9.53
2005,6,26,74.66,74.83,1020.99,0,24.68,4.54,6.83,18.67,707.41,7609.5,2.38,117.51,2.92,118.15,5.14,185.76,3.71
2005,6,27,77.52,71.79,1019.62,0.1,17.68,17.96,14.71,6.42,860.97,7465.32,1.66,102.3,2.83,151.66,2.83,252.16,4.42
2005,6,28,79.37,68.33,1015.08,0.8,25.53,33.67,23.21,7.71,705.96,7311.35,2.83,135.32,3.56,125.61,4.38,127.65,5.99
2005,6,29,74.04,80,1009.52,3,62.09,48.96,56.67,31.71,211.77,4795.32,5.6,205.9,8.04,210.42,11.32,220.96,9.31
2005,6,30,66.3,78.17,1012.7,0.8,31.46,8.79,0.75,31.42,636.14,5712.91,7.94,261.21,10.84,261.19,19.32,268.59,13.31
2005,7,1,61.91,82.75,1017.44,2.5,80.79,12.71,50.96,65.71,210.22,3267.19,8.52,261.13,12.53,264.06,23.19,270.4,14.11
2005,7,2,63.23,80.21,1022.1,0,95.33,0,3.5,95.33,0,2060.35,2.81,229.32,4.92,249.83,10.23,249.64,6.11
2005,7,3,70.29,75.92,1017.64,0,17.05,2.25,0,16.67,779.07,7976.18,2.2,57.74,2.26,37.05,3.29,68.52,3.84
2005,7,4,67.38,84.75,1012.43,8.6,49.1,28.46,38.42,41.25,390.66,3646.33,6.99,204.18,9.58,209,18.18,235.01,12.07
2005,7,5,60.24,69.67,1017.4,0,72.04,14.21,20.29,65.46,277.66,6052,3.81,259.85,5.31,265.2,10.72,285.71,7.34
2005,7,6,59.11,75.17,1014.86,3.7,92.33,1.92,31.67,85.79,3.83,1826.28,5.33,204.9,7.4,213.15,15.81,249.22,11.04
2005,7,7,57.66,83.58,1014.7,6,84,18.29,40.25,79.62,192.04,4156.3,9.18,255.99,12.73,257.76,23.94,266.4,15.35
2005,7,8,56.82,82.83,1016.66,3.8,74.09,0.83,17.88,72.38,204.56,3221.8,4.83,247.22,6.22,252.37,13.72,266.4,8.21
2005,7,9,61.13,75.21,1018.76,0,74.5,47.67,57.62,34.75,268.72,5918.5,3.22,110.43,4.38,82.43,6.53,108.65,5.84
2005,7,10,63.45,86.29,1019.96,13.6,97.08,21,30.21,97.08,33.19,2302.43,4.49,253.46,7.52,113.31,17.21,56.17,12.1
2005,7,11,66.06,85.58,1023.5,1.3,53.86,19.33,33.17,52.33,379.5,3401.58,4.34,138.09,6.41,136.54,17.88,45.36,9.89
2005,7,12,67.45,82.38,1023.29,1.8,77.08,27.42,38.79,57.58,208.72,4577.27,5.72,67.11,6.96,55.16,18.23,61.91,12.11
2005,7,13,70.65,71.29,1021.08,0,16.5,0,0.83,16.5,750.31,7624.63,4.65,59.25,5.66,61.65,14.06,63.23,9.71
2005,7,14,73.22,68.17,1020.26,0,9,0,0,9,823.98,7958.38,1.76,101.66,1.72,105.99,3.8,64.91,3.71
2005,7,15,74.17,63.67,1017.76,0,3.42,0,2.5,3.42,887.98,7462.65,6.15,199.54,8.4,212.64,12.9,237.09,10.36
2005,7,16,75,68.21,1015.25,0.5,16.27,13.88,15.83,10.83,718.53,5574.96,6.3,220.37,8.94,232.48,18.35,266.58,11.41
2005,7,17,75.49,64.46,1015.18,0,2.08,0,0.42,2.08,904.69,7773.26,4.04,231.36,5.77,242.95,10.67,279.18,7.75
2005,7,18,71.53,80.08,1011.66,5,47.96,37.67,47.62,27.38,316.18,3700.62,5.17,196.18,7.29,193.23,11.96,225.68,9.01
2005,7,19,63.14,81.75,1019.26,0.4,36.62,1.29,0,36.62,513.13,3593.82,9.7,258.83,14.32,261.82,25.94,267.81,16.29
2005,7,20,64.11,73.21,1023.43,0.7,31.58,0,6.75,31.58,620.76,5746.73,9.57,250.19,14.9,261.75,22.86,269.65,15.49
2005,7,21,65.62,71.04,1020.23,0,29.92,0,0.21,29.92,826.24,5830.39,9.13,275.09,11.23,277.51,18.23,277.88,13.24
2005,7,22,64.37,73.38,1015.33,0,70.08,0,0,70.08,420.45,3342.84,5.03,285.5,6.99,294.45,10.13,294.84,7.72
2005,7,23,65.76,70.83,1011.45,0,73.35,57.42,71.25,21,47.17,5425.44,4.09,250.32,5.14,258.33,7.9,276.54,6.03
2005,7,24,68.87,70.71,1009.91,0.3,99.04,46.75,92.71,76.79,0,4257.76,3.73,202.09,5.04,212.19,11.04,241.55,10.61
2005,7,25,70.02,82.42,1010.26,12.2,79.08,35.67,56.79,69.25,167.23,2363.84,3.92,231.2,6.61,242.95,15.46,256.81,11.32
2005,7,26,70.24,80.29,1012.48,2.3,56.13,41.12,51.42,51.46,259.03,4891.44,3.6,241.08,5.02,254.04,13.55,264.91,9.11
2005,7,27,77.32,69.83,1012.08,0,19.23,4.12,18.46,4.92,809.2,6947.34,2.94,155.76,4.06,163.66,5.59,218.84,8.01
2005,7,28,81.44,63.42,1012.58,0,16.38,27.54,12.12,0.83,794.8,7492.02,2.12,180.99,3.35,180.15,5.14,242.6,7.14
2005,7,29,75.77,79.29,1012.66,3.1,63.5,64.21,63.12,21.08,320.98,3978.3,5.13,218.38,6.95,216.92,9.56,221.7,7.19
2005,7,30,68.61,77.88,1016.07,5.7,80.54,0,52.83,80,140.43,3015.32,4.58,265.34,5.83,271.47,11.68,277.53,9.13
2005,7,31,65.87,68.42,1017.05,0,38.08,4.08,0,38.08,507.28,6144.56,5.49,241.45,7.7,250.4,12.4,271.25,9.38
2005,8,1,66.44,70.17,1017.15,0,18.22,14.5,13.75,16.29,811.26,7111.1,2.43,132.36,3.77,130.69,4.66,99.35,5.59
2005,8,2,62.4,95.12,1017.43,28.8,100,100,100,100,0,1069.78,4.09,312.19,6.05,321.78,10.11,26.33,7.17
2005,8,3,65.76,78.17,1019.71,9.3,86.71,18.46,49.75,86.71,184.47,3947.15,4.74,286.21,5.7,295.32,11.87,191.3,7.28
2005,8,4,67.35,60.12,1023.38,0,67.67,7.21,6.62,67.67,381.7,6290.52,2.89,289.12,3.83,305.68,7.39,322.27,5.48
2005,8,5,65.49,65.46,1022.44,0,55.75,0.92,27.33,40.67,361.28,6111.63,4.63,215.81,6.26,203.77,9.93,278.08,7.07
2005,8,6,64.35,73.38,1019,1.1,89.42,79.92,52.12,52.67,123.19,4380.58,6.21,284.49,8.61,290.7,17.99,290.28,11.17
2005,8,7,58.54,79.12,1015.17,5.1,74.75,2.33,12.62,74.75,54.89,2509.8,5.85,284.68,7.11,299.54,12.56,298.77,10.39
2005,8,8,57.57,74.46,1019.4,0,85.88,0,0,85.88,42.77,4597.74,3.96,271.77,5.26,279.63,8.24,311.98,5.18
2005,8,9,60.94,69.75,1016.58,0,4.85,2.92,3.46,1.04,863.29,7306.01,2.14,219.92,3.28,159.46,4.36,318.31,4.56
2005,8,10,64.24,70.58,1014.35,0,1.25,0,0,1.25,857.65,7176.96,2.85,212.61,3.6,164.26,5.16,268.21,5.02
2005,8,11,64.31,70.29,1014.13,0,25.93,19.46,25.92,2.58,497.52,7068.38,3.64,177.13,5.51,175.84,6.81,146.07,6.25
2005,8,12,65.03,70.62,1015.71,0.4,15.92,4.08,8.54,15.92,698.31,6373.29,5.49,245.18,7.26,259.1,10.42,255.29,8.39
2005,8,13,64.36,73.83,1018.56,0,59.77,9.42,19.42,50.04,293.27,5160.22,3.25,277.21,4.89,283.57,8.74,287.28,6.24
2005,8,14,59.51,85.12,1017.25,11.5,83.8,33.04,70.42,71.71,1.28,1582.42,7.94,229.41,12.58,237.89,26.52,260.92,15.14
2005,8,15,57.32,93.38,1019.82,7,100,0.08,24,100,0,1551.27,5.02,274.98,6.47,279.84,17.04,285.39,8.79
2005,8,16,61.43,84.38,1020.21,0,60.83,0,0,60.83,365.03,4708.99,5.72,96.73,7.41,69.12,13.41,63.11,12.57
2005,8,17,64.01,77.42,1016.94,0,8.83,0,0,8.83,772.29,6836.09,6.52,76.26,10.1,82.29,24.35,86.58,12.48
2005,8,18,69.22,78.08,1014.52,0.3,48.75,12.96,12.79,43.04,390.68,5425.44,2.86,177.12,4.57,187.36,6.5,232.1,5.25
2005,8,19,67.24,83.96,1016.27,4.8,67.22,61.96,62.88,40.17,219.17,2210.76,4.96,241.24,5.94,246.75,13.06,264.09,8.3
2005,8,20,60.28,92.33,1018.92,10,100,55.21,100,97.96,0,1491.64,4.76,275.71,6.7,280.78,14.43,301.81,7.41
2005,8,21,60.45,96.5,1014.62,34,100,77.12,100,100,0,1018.16,4.6,295.11,5.61,300.89,15.61,246.34,9.47
2005,8,22,64.41,92.96,1012.37,18,99.75,18.12,61.46,96.62,0,1711.47,6.08,297.76,7.56,302.01,17.26,261.65,12.19
2005,8,23,64.14,86.88,1016.03,4.3,56.08,0,1.33,56.08,226.58,2545.4,4.53,270.65,6.1,285.25,11.14,295.54,7.13
2005,8,24,64.55,83.79,1015.28,1.9,66.66,22.88,12.46,61.25,331.11,3953.38,2.43,264.75,2.65,273.14,5.32,289.47,3.91
2005,8,25,65.12,80.83,1011.87,0.8,100,50.17,63.96,84.5,0,2775.02,7.17,216.13,11.54,229.23,23.87,251.07,16
2005,8,26,62.31,74.33,1019.09,0,47,0,0,47,539.51,4296.03,4.3,266.7,5.74,265.52,13.7,284.25,8.83
2005,8,27,60.83,82.62,1019,2.5,71.47,60.04,66.96,43.92,47.76,3344.62,1.57,136.73,2.36,138.34,2.38,121.78,3.18
2005,8,28,65.59,82,1020.27,0,52.88,12.58,14.92,52,453.35,5164.67,3.01,135.56,3.5,51.13,8.62,100.19,6.77
2005,8,29,67.81,78.62,1022.16,0,26.04,0,0,26.04,606.53,6114.3,2.27,70,2.77,97.67,10.05,62.52,5.15
2005,8,30,72.13,79,1022.59,0,27.5,0,0,27.5,506.92,5820.6,3.1,85.89,3.48,83.73,6.55,59.24,5.37
2005,8,31,73.56,75.17,1017.21,0,32.83,0,0,32.83,542.63,5834.84,1.99,154.51,2.56,163.07,3.51,182.19,4.36
2005,9,1,71.88,76.25,1016.87,0.4,17.53,21.21,16.79,5.17,554.11,4582.61,3.96,218.29,5.11,231.55,9.01,267.51,6.07
2005,9,2,70.28,83.33,1022.8,0,31.17,19.17,0.62,27.21,442.94,5151.32,2.35,100.2,3.48,84.38,5.32,122.91,4.73
2005,9,3,70.53,81.21,1024.07,0,44.5,13.46,20.83,31.25,426.28,5589.2,4.46,71.22,5.48,78.61,12.71,80.23,7.32
2005,9,4,69.07,80.96,1021.9,0,31.29,0,0,31.29,487.47,5373.82,3.7,79.79,4.54,85.6,10.15,83.9,6.38
2005,9,5,68.36,75.79,1016.95,0,33.88,0,0.25,33.75,567.81,5715.58,2.98,167.52,4.96,175.52,6.44,205.33,5.66
2005,9,6,69.53,76.46,1012.77,0.2,71.83,60,65.54,29.12,68.15,4093.11,2.57,102.13,3.74,122.33,6.8,133.09,5.03
2005,9,7,68.95,71.33,1013.2,0,16.92,0,0,16.92,647.41,5738.72,1.4,126.7,1.81,145.12,3.96,141.46,3.06
2005,9,8,70.99,68.71,1015.41,0,13.11,1,11.83,1.25,764.78,5608.78,1.75,174.3,2.29,179.96,2.46,166.4,3.43
2005,9,9,70.46,75.04,1012.21,1.3,82.88,33.62,62.88,41.79,197.41,3212.9,3.12,268.03,3.68,294.07,7.05,220.33,4.21
2005,9,10,66.5,82.96,1012.19,2.7,66.86,22.21,61.04,32.79,363.35,3754.02,3.41,248.21,4.47,255.4,10.33,282.1,6.11
2005,9,11,63.54,94.21,1011.05,19.6,98.96,76.04,98.79,97.75,0,1080.46,3.73,270.58,4.26,280.89,9.88,298.44,4.81
2005,9,12,61.6,88.21,1014.94,0.1,68.29,3.92,2.83,67.42,184.13,1836.96,2.97,210.27,3.26,203.96,8.25,248.41,5.71
2005,9,13,60.97,91.92,1023.22,0.1,86.75,0.62,0,86.75,45.96,1667.86,1.66,59.13,2.23,56.23,4.07,44.54,4.03
2005,9,14,64.66,84.58,1025.53,0,59.55,29.17,0.08,53.33,369.18,3435.4,3.38,243.71,4.63,245.89,6.67,255.43,4.92
2005,9,15,65.97,79.75,1021.82,0,53.53,14.62,3.79,49.67,308.45,4077.98,4.73,241.29,6.93,258.69,14.27,275.42,8.36
2005,9,16,63.83,82.92,1010.09,12.2,35.6,25.62,29,31.42,507.59,3808.31,7.92,257.78,12.15,266.86,22.05,249.55,14.76
2005,9,17,52.46,78.04,1017.16,10.7,85.79,10.12,33.96,85.79,142.6,2627.28,8,95.52,11.09,65.99,19.67,39.29,14.46
2005,9,18,50.23,73.46,1021.72,0,46.67,0.21,0,46.67,207.26,3710.41,9.7,53.09,15.34,58.08,29.97,69.84,19.77
2005,9,19,51.04,72.67,1022.08,0,14.58,48.58,0.08,1.12,619.67,5120.17,6.45,45,9.51,50.72,25.73,73.6,14.54
2005,9,20,54.34,72.83,1023.09,0,26.12,0,0,26.12,574.53,5016.04,3.22,30.26,5.15,37.13,10.97,49.88,7.43
2005,9,21,56.23,73.04,1021.11,0,28.71,0,0,28.71,572.82,5032.06,4.59,60.65,6.43,65.02,14.77,68.75,10.77
2005,9,22,56.89,76.71,1019.7,0,16.83,0,0,16.83,570.76,4949.29,1.69,76.33,2,125.77,6.09,108.79,3.57
2005,9,23,61.92,76.67,1017.85,0,40.95,11.25,9.42,30.96,501.51,4822.02,3.08,188.02,4.13,201.34,7.01,252,5.58
2005,9,24,63.4,72.04,1016.95,0.3,52.54,14.83,48.38,18.5,356.42,3664.13,2.82,199.96,4.17,222.7,10.29,246.62,6.17
2005,9,25,63.2,75.83,1015.07,0.4,42.25,3.04,34.67,36.96,409.27,3634.76,2.63,206.3,3.51,215.99,4.73,251.43,4.65
2005,9,26,63.58,83.71,1019.92,3.7,96.96,52.08,75.75,79,31.28,2257.04,3.07,248.23,3.5,257.31,7.41,274.35,4.82
2005,9,27,65.96,74.38,1020.85,0,88.04,71.46,88.04,20.67,21.7,4003.22,3.21,205.59,4.73,217.14,8.06,257.15,6.83
2005,9,28,61.27,77.92,1021.64,0,79.75,31.46,65.67,38.21,146.23,2968.15,4.12,253.35,5.86,272.19,14.22,277.57,8.63
2005,9,29,57.83,81.67,1021.05,3.1,91.25,58.5,53.71,88.92,112.98,2165.37,7.63,269.81,10.6,273.75,21.47,273.44,12.31
2005,9,30,54.63,72.58,1025.17,0,80.33,10.33,36.58,73.75,136.87,3488.8,2.55,241.23,3.36,246.24,5.96,276.89,3.14
